name,details,ratings,reviews_count,positive_feedbacks,negetive_feedbacks
CGI Group,IT Services & Consulting | Bangalore / Bengaluru +43 other locations,4.0,5.4k,Work Life Balance | Company Culture | Job Security,Promotions / Appraisal | Salary & Benefits
GlobalLogic,IT Services & Consulting | Hyderabad / Secunderabad +57 other locations,3.5,5.4k,,Promotions / Appraisal | Salary & Benefits | Work Satisfaction
ICICI Lombard General Insurance Company,Insurance | Mumbai +304 other locations,3.6,5.4k,,Promotions / Appraisal | Work Satisfaction | Company Culture
Access Healthcare,Healthcare | Chennai +58 other locations,3.7,5.4k,Job Security,Promotions / Appraisal | Skill Development / Learning
Firstsource Solutions,BPO | Bangalore / Bengaluru +69 other locations,3.5,5.4k,,Promotions / Appraisal | Salary & Benefits | Work Satisfaction
Manappuram Finance,NBFC | Bangalore / Bengaluru +621 other locations,3.9,5.3k,Work Life Balance | Promotions / Appraisal | Skill Development / Learning,
Apollo Hospitals,Healthcare | Chennai +226 other locations,4.0,5.3k,Job Security | Company Culture | Skill Development / Learning,Promotions / Appraisal
Mahindra Finance,NBFC | Mumbai +714 other locations,3.9,5.3k,Work Life Balance,Promotions / Appraisal
Bosch Global Software Technologies,IT Services & Consulting | Bangalore / Bengaluru +47 other locations,3.8,5.2k,Work Life Balance | Job Security | Company Culture,Promotions / Appraisal | Salary & Benefits
UST,IT Services & Consulting | Bangalore / Bengaluru +49 other locations,3.7,5.2k,Work Life Balance,Promotions / Appraisal | Job Security | Salary & Benefits
Ashok Leyland,Automobile | Chennai +244 other locations,4.0,5.2k,Work Life Balance | Skill Development / Learning | Company Culture,Promotions / Appraisal
Citicorp,Financial Services | Pune +67 other locations,3.7,5.2k,Salary & Benefits,Promotions / Appraisal | Work Satisfaction | Skill Development / Learning
Cyient,IT Services & Consulting | Hyderabad / Secunderabad +44 other locations,3.6,5.1k,,Promotions / Appraisal | Salary & Benefits | Skill Development / Learning
Hero MotoCorp,Automobile | Gurgaon / Gurugram +359 other locations,4.1,5.1k,Company Culture | Work Life Balance | Work Satisfaction,Promotions / Appraisal
PolicyBazaar,Internet | Gurgaon / Gurugram +132 other locations,3.7,5.1k,Salary & Benefits,Work Life Balance | Company Culture | Work Satisfaction
Swiggy,Internet | Bangalore / Bengaluru +226 other locations,3.7,5k,,Job Security | Promotions / Appraisal | Work Satisfaction
JustDial,Internet | Noida +219 other locations,3.5,4.9k,,Promotions / Appraisal | Work Satisfaction | Job Security
SBI Cards & Payment Services,Financial Services | Gurgaon / Gurugram +427 other locations,3.6,4.9k,,Promotions / Appraisal | Work Satisfaction | Company Culture
Kalpataru Projects International,Engineering & Construction | Mumbai +305 other locations,4.1,4.9k,Job Security | Skill Development / Learning | Salary & Benefits,
BNY,Financial Services | Pune +25 other locations,3.7,4.9k,Company Culture | Work Life Balance,Promotions / Appraisal | Job Security
IQVIA,Clinical Research | Bangalore / Bengaluru +62 other locations,3.8,4.8k,Work Life Balance | Job Security,Promotions / Appraisal | Salary & Benefits
CBRE,Real Estate | Hyderabad / Secunderabad +91 other locations,4.1,4.8k,Company Culture | Work Life Balance | Job Security,
TVS Motor,Automobile | Hosur +335 other locations,3.9,4.7k,Skill Development / Learning | Salary & Benefits | Job Security,Promotions / Appraisal
SBI Life Insurance Company,Insurance | Mumbai +637 other locations,3.8,4.7k,Job Security,Promotions / Appraisal | Work Satisfaction
vivo,Consumer Electronics & Appliances | Noida +410 other locations,4.1,4.7k,Skill Development / Learning | Company Culture | Work Life Balance,Promotions / Appraisal
NTT Data,IT Services & Consulting | Bangalore / Bengaluru +77 other locations,3.8,4.7k,Work Life Balance,Promotions / Appraisal
Eviden,IT Services & Consulting | Pune +37 other locations,3.6,4.7k,Work Life Balance,Promotions / Appraisal | Salary & Benefits | Work Satisfaction
Persistent Systems,IT Services & Consulting | Pune +42 other locations,3.6,4.7k,,Promotions / Appraisal | Job Security | Work Satisfaction
Atos,IT Services & Consulting | Pune +49 other locations,3.8,4.7k,Work Life Balance,Promotions / Appraisal | Salary & Benefits
Nagarjuna Construction Company,Engineering & Construction | Hyderabad / Secunderabad +281 other locations,4.1,4.7k,Job Security | Skill Development / Learning | Salary & Benefits,
State Bank of India,Banking | Mumbai +597 other locations,3.8,4.7k,Job Security | Skill Development / Learning | Salary & Benefits,
Schneider Electric,Industrial Automation | Bangalore / Bengaluru +117 other locations,4.1,4.6k,Company Culture | Work Life Balance | Job Security,Promotions / Appraisal
